item_id,store_id,month,sales,event_name_1,snap_CA,snap_TX,snap_WI,sell_price,snap,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,year,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
FOODS_1_012,CA_2,2012-01-01,0,1,1,1,0,6.08,1,0.0,0.0,0.0,11.0,0.0,0.0,2012,True,False,False,False,False,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2012-02-01,0,1,1,1,0,6.080000000000001,1,0.0,0.0,0.0,21.0,0.0,0.0,2012,False,True,False,False,False,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2012-03-01,0,1,1,1,0,6.08,1,0.0,0.0,0.0,0.0,0.0,0.0,2012,False,False,True,False,False,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2012-04-01,0,1,1,1,0,6.08,1,0.0,0.0,0.0,0.0,0.0,0.0,2012,False,False,False,True,False,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2012-05-01,60,1,1,1,0,5.906750000000001,1,0.0,0.0,0.0,0.0,0.0,0.0,2012,False,False,False,False,True,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2012-06-01,381,1,1,1,0,5.09,1,60.0,0.0,0.0,0.0,0.0,20.0,2012,False,False,False,False,False,True,False,False,False,False,False,False
FOODS_1_012,CA_2,2012-07-01,392,1,1,1,0,5.146,1,381.0,60.0,0.0,0.0,11.0,147.0,2012,False,False,False,False,False,False,True,False,False,False,False,False
FOODS_1_012,CA_2,2012-08-01,415,1,1,1,0,5.16,1,392.0,381.0,60.0,0.0,21.0,277.6666666666667,2012,False,False,False,False,False,False,False,True,False,False,False,False
FOODS_1_012,CA_2,2012-09-01,444,1,1,1,0,5.16,1,415.0,392.0,381.0,0.0,0.0,396.0,2012,False,False,False,False,False,False,False,False,True,False,False,False
FOODS_1_012,CA_2,2012-10-01,475,1,1,1,0,5.16,1,444.0,415.0,392.0,0.0,0.0,417.0,2012,False,False,False,False,False,False,False,False,False,True,False,False
FOODS_1_012,CA_2,2012-11-01,441,1,1,1,0,5.16,1,475.0,444.0,415.0,60.0,0.0,444.6666666666667,2012,False,False,False,False,False,False,False,False,False,False,True,False
FOODS_1_012,CA_2,2012-12-01,297,1,1,1,0,5.198181818181819,1,441.0,475.0,444.0,381.0,0.0,453.3333333333333,2012,False,False,False,False,False,False,False,False,False,False,False,True
FOODS_1_012,CA_2,2013-01-01,346,1,1,1,0,5.23,1,297.0,441.0,475.0,392.0,0.0,404.3333333333333,2013,True,False,False,False,False,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2013-02-01,336,1,1,1,0,5.23,1,346.0,297.0,441.0,415.0,0.0,361.3333333333333,2013,False,True,False,False,False,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2013-03-01,451,1,1,1,0,5.23,1,336.0,346.0,297.0,444.0,0.0,326.3333333333333,2013,False,False,True,False,False,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2013-04-01,344,1,1,1,0,5.23,1,451.0,336.0,346.0,475.0,0.0,377.6666666666667,2013,False,False,False,True,False,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2013-05-01,383,1,1,1,0,5.23,1,344.0,451.0,336.0,441.0,60.0,377.0,2013,False,False,False,False,True,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2013-06-01,346,1,1,1,0,5.23,1,383.0,344.0,451.0,297.0,381.0,392.6666666666667,2013,False,False,False,False,False,True,False,False,False,False,False,False
FOODS_1_012,CA_2,2013-07-01,336,1,1,1,0,5.286,1,346.0,383.0,344.0,346.0,392.0,357.6666666666667,2013,False,False,False,False,False,False,True,False,False,False,False,False
FOODS_1_012,CA_2,2013-08-01,414,1,1,1,0,5.3,1,336.0,346.0,383.0,336.0,415.0,355.0,2013,False,False,False,False,False,False,False,True,False,False,False,False
FOODS_1_012,CA_2,2013-09-01,398,1,1,1,0,5.3,1,414.0,336.0,346.0,451.0,444.0,365.3333333333333,2013,False,False,False,False,False,False,False,False,True,False,False,False
FOODS_1_012,CA_2,2013-10-01,437,1,1,1,0,5.3,1,398.0,414.0,336.0,344.0,475.0,382.6666666666667,2013,False,False,False,False,False,False,False,False,False,True,False,False
FOODS_1_012,CA_2,2013-11-01,445,1,1,1,0,5.3,1,437.0,398.0,414.0,383.0,441.0,416.3333333333333,2013,False,False,False,False,False,False,False,False,False,False,True,False
FOODS_1_012,CA_2,2013-12-01,397,1,1,1,0,5.305,1,445.0,437.0,398.0,346.0,297.0,426.6666666666667,2013,False,False,False,False,False,False,False,False,False,False,False,True
FOODS_1_012,CA_2,2014-01-01,422,1,1,1,0,5.33,1,397.0,445.0,437.0,336.0,346.0,426.3333333333333,2014,True,False,False,False,False,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2014-02-01,397,1,1,1,0,5.33,1,422.0,397.0,445.0,414.0,336.0,421.3333333333333,2014,False,True,False,False,False,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2014-03-01,436,1,1,1,0,5.33,1,397.0,422.0,397.0,398.0,451.0,405.3333333333333,2014,False,False,True,False,False,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2014-04-01,466,1,1,1,0,5.33,1,436.0,397.0,422.0,437.0,344.0,418.3333333333333,2014,False,False,False,True,False,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2014-05-01,380,1,1,1,0,5.351000000000001,1,466.0,436.0,397.0,445.0,383.0,433.0,2014,False,False,False,False,True,False,False,False,False,False,False,False
FOODS_1_012,CA_2,2014-06-01,402,1,1,1,0,5.4,1,380.0,466.0,436.0,397.0,346.0,427.3333333333333,2014,False,False,False,False,False,True,False,False,False,False,False,False
