date,predicted_sales
2016-05-23,0.9024662
2016-05-24,1.0117575
2016-05-25,1.2090437
2016-05-26,1.3516238
2016-05-27,1.456671
2016-05-28,1.4572518
2016-05-29,1.3380556
2016-05-30,1.262535
2016-05-31,1.1234416
2016-06-01,0.49917036
2016-06-02,0.59378767
2016-06-03,0.7118177
2016-06-04,0.66853106
2016-06-05,0.64845765
2016-06-06,0.6972796
2016-06-07,0.68706566
2016-06-08,0.7315427
2016-06-09,0.73260534
2016-06-10,0.726974
2016-06-11,0.8291398
2016-06-12,1.0321767
2016-06-13,1.0072942
2016-06-14,0.6573466
2016-06-15,0.73805684
2016-06-16,0.87356985
2016-06-17,0.9919134
2016-06-18,1.0673134
2016-06-19,0.9324188
2016-06-20,0.64558995
2016-06-21,0.7292551
